fullName,email,studentId,department
Nguyễn Văn An,an.nguyen01@tdtu.edu.vn,522H0001,Công nghệ Thông tin
Trần Thị Bích,bich.tran02@tdtu.edu.vn,522H0002,Khoa học Máy tính
Lê Minh Cường,cuong.le03@tdtu.edu.vn,522H0003,Hệ thống Thông tin
Phạm Thị Dung,dung.pham04@tdtu.edu.vn,522H0004,Kỹ thuật Phần mềm
Hoàng Văn Em,em.hoang05@tdtu.edu.vn,522H0005,An toàn Thông tin
Vũ Thị Giang,giang.vu06@tdtu.edu.vn,522H0006,Mạng máy tính & Truyền thông
Đặng Minh Hải,hai.dang07@tdtu.edu.vn,522H0007,Trí tuệ Nhân tạo
Bùi Thị Kim,kim.bui08@tdtu.edu.vn,522H0008,Toán - Tin ứng dụng
Ngô Văn Long,long.ngo09@tdtu.edu.vn,522H0009,Thương mại Điện tử
Đỗ Thị Mai,mai.do10@tdtu.edu.vn,522H0010,Quản lý Dự án CNTT
Nguyễn Hoàng Nam,nam.nguyen11@tdtu.edu.vn,522H0011,Công nghệ Thông tin
Trương Thị Ngọc,ngoc.truong12@tdtu.edu.vn,522H0012,Khoa học Máy tính
Võ Minh Phát,phat.vo13@tdtu.edu.vn,522H0013,Hệ thống Thông tin
Phan Thị Quỳnh,quynh.phan14@tdtu.edu.vn,522H0014,Kỹ thuật Phần mềm
Dương Văn Rạng,rang.duong15@tdtu.edu.vn,522H0015,An toàn Thông tin
Hồ Thị Sương,suong.ho16@tdtu.edu.vn,522H0016,Mạng máy tính & Truyền thông
Đinh Minh Tâm,tam.dinh17@tdtu.edu.vn,522H0017,Trí tuệ Nhân tạo
Lý Thị Uyên,uyen.ly18@tdtu.edu.vn,522H0018,Toán - Tin ứng dụng
Mai Văn Vinh,vinh.mai19@tdtu.edu.vn,522H0019,Thương mại Điện tử
Cao Thị Xuân,xuan.cao20@tdtu.edu.vn,522H0020,Quản lý Dự án CNTT
Lương Minh Ý,y.luong21@tdtu.edu.vn,522H0021,Công nghệ Thông tin
Tạ Văn Bình,binh.ta22_invalid_email_format,522H0022,Khoa học Máy tính
Đoàn Thị Cẩm,cam.doan23@tdtu.edu.vn,522H0023,Hệ thống Thông tin
Trịnh Minh Đức,duc.trinh24@tdtu.edu.vn,522H0024,Kỹ thuật Phần mềm
Lâm Thị Én,en.lam25@tdtu.edu.vn,522H0025,An toàn Thông tin
Hà Văn Giáp,giap.ha26@tdtu.edu.vn,522H0026,Mạng máy tính & Truyền thông
Chu Thị Hoa,hoa.chu27@tdtu.edu.vn,522H0027,Mạng máy tính & Truyền thông
Nghiêm Minh Kha,kha.nghiem28@tdtu.edu.vn,522H0028,Trí tuệ Nhân tạo
Quách Thị Lan,lan.quach29@tdtu.edu.vn,522H0029,Toán - Tin ứng dụng
Tôn Văn Mẫn,man.ton30@tdtu.edu.vn,522H0030,Thương mại Điện tử
Ân Thị Nga,nga.an31@tdtu.edu.vn,522H0031,Quản lý Dự án CNTT
Bạch Minh Phúc,phuc.bach32@tdtu.edu.vn,522H0032,Công nghệ Thông tin
Châu Thị Quyên,,522H0033,Khoa học Máy tính
Diệp Văn Sơn,son.diep34@tdtu.edu.vn,522H0034,Hệ thống Thông tin
Hứa Thị Thảo,thao.hua35@tdtu.edu.vn,522H0035,Kỹ thuật Phần mềm
Khổng Minh Trí,tri.khong36@tdtu.edu.vn,522H0036,An toàn Thông tin
Lưu Thị Vân,van.luu37@tdtu.edu.vn,522H0037,Mạng máy tính & Truyền thông
Mã Văn Vũ,vu.ma38@tdtu.edu.vn,522H0038,Trí tuệ Nhân tạo
Nhan Thị Yến,yen.nhan39@tdtu.edu.vn,522H0039,Toán - Tin ứng dụng
Ôn Minh Anh,anh.on40@tdtu.edu.vn,522H0040,Thương mại Điện tử
Phù Thị Băng,bang.phu41@tdtu.edu.vn,522H0041,Quản lý Dự án CNTT
Sầm Văn Cảnh,canh.sam42@tdtu.edu.vn,522H0042,Công nghệ Thông tin
Thạch Thị Diệp,diep.thach43@tdtu.edu.vn,522H0043,Khoa học Máy tính
Uông Minh Giang,giang.uong44@tdtu.edu.vn,522H0044,Hệ thống Thông tin
Văn Thị Hạnh,hanh.van45@tdtu.edu.vn,522H0045,Kỹ thuật Phần mềm
Xa Văn Kiên,kien.xa46@tdtu.edu.vn,522H0046,An toàn Thông tin
Ý Thị Loan,loan.y47@tdtu.edu.vn,522H0047,Mạng máy tính & Truyền thông
Doãn Minh Nghĩa,nghia.doan48@tdtu.edu.vn,522H0048,Trí tuệ Nhân tạo
Giáp Thị Oanh,oanh.giap49@tdtu.edu.vn,522H0049,Toán - Tin ứng dụng
Lạc Văn Quân,quan.lac50@tdtu.edu.vn,522H0050,Thương mại Điện tử
